"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
"Invoice0000002","300","USD","21/02/2019 2:04"
"Invoice0000001","USD","20/02/2019 12:33","Approved"
